id,province_id,kabupaten,ODP,PDP,positif,negatif,sembuh,meninggal,selesai_pengawasan,selesai_pemantauan,created_at,updated_at
7202,72,Banggai,89,16,1766,10,1402,54,12,83,2020-05-04 20:41:00,2021-07-12 17:30:36
7201,72,Banggai Kepulauan,11,0,327,0,300,10,0,9,2020-05-04 20:41:03,2021-07-12 17:30:49
7211,72,Banggai Laut,13,0,43,0,27,3,0,13,2020-05-04 20:41:00,2021-07-11 19:02:47
7207,72,Buol,138,5,710,6,679,14,5,138,2020-05-04 20:41:00,2021-07-10 20:36:49
7205,72,Donggala,42,13,655,10,569,19,11,42,2020-05-04 20:41:00,2021-07-12 17:31:21
7203,72,Morowali,37,34,1335,28,1162,29,33,36,2020-05-04 20:41:00,2021-07-12 17:31:36
7212,72,Morowali Utara,18,40,845,33,791,14,38,18,2020-05-04 20:41:00,2021-07-10 20:37:38
7208,72,Parigi Mautong,120,10,1360,11,1235,32,10,120,2020-05-04 20:41:00,2021-07-12 17:31:58
7204,72,Poso,71,32,2037,28,1818,67,31,57,2020-05-04 20:41:00,2021-07-12 17:32:10
7210,72,Sigi,37,24,962,12,791,24,24,37,2020-05-04 20:41:00,2021-07-12 17:32:25
7209,72,Tojo Una-Una,38,17,623,16,544,16,15,38,2020-05-04 20:41:00,2021-07-12 17:32:41
7206,72,Toli-Toli,313,22,640,15,506,42,19,229,2020-05-04 20:41:00,2021-07-12 17:33:03
7271,72,Kota Palu,450,83,3768,57,3395,114,83,433,2020-05-04 20:41:00,2021-07-12 17:33:18