kode_provinsi,provinsi,positif,meninggal,sembuh,map_id,created_at,updated_at
11,Aceh,19246,808,14669,ID.AC,2020-05-04 20:41:00,2021-06-30 19:20:25
12,Sumatera Utara,36271,1190,32132,ID.SU,2020-05-04 20:41:00,2021-06-30 19:20:45
13,Sumatera Barat,51186,1188,46789,ID.SB,2020-05-04 20:41:00,2021-06-30 19:21:04
14,Riau,70520,1931,65719,ID.RI,2020-05-04 20:41:00,2021-06-30 19:21:22
15,Jambi,12861,261,11069,ID.JA,2020-05-04 20:41:00,2021-06-30 19:21:41
16,Sumatera Selatan,28763,1448,25639,ID.SL,2020-05-04 20:41:00,2021-06-30 19:22:05
17,Bengkulu,10131,215,8820,ID.BE,2020-05-04 20:41:00,2021-06-30 19:22:19
18,Lampung,21672,1120,18554,ID.LA,2020-05-04 20:41:00,2021-06-30 19:22:39
19,Kepulauan Bangka Belitung,21192,327,19868,ID.BB,2020-05-04 20:41:00,2021-06-30 19:22:56
21,Kepulauan Riau,25924,544,20924,ID.KR,2020-05-04 20:41:00,2021-06-30 19:23:21
31,DKI Jakarta,543468,8400,464693,ID.JK,2020-05-04 20:41:00,2021-06-30 19:23:54
32,Jawa Barat,381445,5352,324278,ID.JR,2020-05-04 20:41:00,2021-06-30 19:24:13
33,Jawa Tengah,253939,10568,207381,ID.JT,2020-05-04 20:41:00,2021-06-30 19:26:01
34,Daerah Istimewa Yogyakarta,60459,1559,48533,ID.YO,2020-05-04 20:41:00,2021-06-30 19:26:21
35,Jawa Timur,173033,12591,151602,ID.JI,2020-05-04 20:41:00,2021-06-30 19:26:42
36,Banten,57124,1394,49725,ID.BT,2020-05-04 20:41:00,2021-06-30 19:27:09
51,Bali,50217,1560,46950,ID.BA,2020-05-04 20:41:00,2021-06-30 19:27:31
52,Nusa Tenggara Barat,12999,495,11102,ID.NB,2020-05-04 20:41:00,2021-06-30 19:27:48
53,Nusa Tenggara Timur,18416,459,16203,ID.NT,2020-05-04 20:41:00,2021-06-30 19:28:09
61,Kalimantan Barat,14669,271,13225,ID.KB,2020-05-04 20:41:00,2021-06-30 19:28:36
62,Kalimantan Tengah,25741,545,20550,ID.KT,2020-05-04 20:41:00,2021-06-30 19:28:59
63,Kalimantan Selatan,36076,1066,34224,ID.KS,2020-05-04 20:41:00,2021-06-30 19:29:21
64,Kalimantan Timur,77235,1846,71456,ID.KI,2020-05-04 20:41:00,2021-06-30 19:29:42
65,Kalimantan Utara,13050,200,11973,ID.KU,2020-05-04 20:41:00,2021-06-30 19:30:25
71,Sulawesi Utara,16261,557,15326,ID.SW,2020-05-04 20:41:00,2021-06-30 19:30:52
72,Sulawesi Tengah,13645,403,12749,ID.ST,2020-05-04 20:41:00,2021-06-30 19:31:10
73,Sulawesi Selatan,64232,986,61922,ID.SE,2020-05-04 20:41:00,2021-06-30 19:31:30
74,Sulawesi Tenggara,11374,235,10218,ID.SG,2020-05-04 20:41:00,2021-06-30 19:31:48
75,Gorontalo,5847,182,5416,ID.GO,2020-05-04 20:41:00,2021-06-30 19:32:03
76,Sulawesi Barat,5832,122,5498,ID.SR,2020-05-04 20:41:00,2021-06-30 19:32:20
81,Maluku,8492,141,7601,ID.MA,2020-05-04 20:41:00,2021-06-30 19:31:05
82,Maluku Utara,5223,128,4501,ID.133,2020-05-04 20:41:00,2021-06-30 19:32:46
91,Papua Barat,10739,186,9451,ID.IB,2020-05-04 20:41:00,2021-06-30 19:33:13
94,Papua,20980,213,11653,ID.PA,2020-05-04 20:41:00,2021-06-30 19:33:34