id,day,date,positive,recovered,death,negative,new_ODP,new_PDP,finished_ODP,finished_PDP,cumulative_ODP,cumulative_PDP,cumulative_finished_ODP,cumulative_finished_PDP,Rt,Rt_upper,Rt_lower
1,1,2020-03-22 00:00:00,0,0,0,0,10,7,0,0,10,7,0,0,,,
2,2,2020-03-23 00:00:00,0,0,0,3,10,5,0,0,20,12,0,0,,,
3,3,2020-03-24 00:00:00,0,0,0,0,4,5,0,0,24,17,0,0,,,
4,4,2020-03-25 00:00:00,0,0,0,0,19,2,0,0,43,19,0,0,,,
5,5,2020-03-26 00:00:00,1,0,0,1,3,0,1,0,46,19,1,0,,,
6,6,2020-03-27 00:00:00,0,0,0,1,1,0,0,0,47,19,1,0,,,
7,7,2020-03-28 00:00:00,1,0,0,0,3,9,1,0,50,28,2,0,,,
8,8,2020-03-29 00:00:00,0,0,0,0,15,0,3,0,65,28,5,0,,,
9,9,2020-03-30 00:00:00,0,0,1,0,43,1,5,0,108,29,10,0,,,
10,10,2020-03-31 00:00:00,0,0,0,1,11,0,0,0,119,29,10,0,,,
11,11,2020-04-01 00:00:00,0,0,0,2,8,0,5,3,127,29,15,3,,,
12,12,2020-04-02 00:00:00,0,0,0,0,10,2,8,0,137,31,23,3,,,
13,13,2020-04-03 00:00:00,2,0,0,0,7,3,9,4,144,34,32,7,,,
14,14,2020-04-04 00:00:00,0,0,1,0,7,1,3,1,151,35,35,8,,,
15,15,2020-04-05 00:00:00,0,0,0,0,5,1,4,0,156,36,39,8,,,
16,16,2020-04-06 00:00:00,1,0,0,1,262,5,11,1,418,41,50,9,,,
17,17,2020-04-07 00:00:00,0,0,0,0,9,1,16,0,427,42,66,9,,,
18,18,2020-04-08 00:00:00,1,2,0,2,15,7,31,2,442,49,97,11,2.68,3.84,1.71
19,19,2020-04-09 00:00:00,0,0,0,2,5,1,34,4,447,50,131,15,2.16,3.09,1.38
20,20,2020-04-10 00:00:00,8,0,0,2,7,2,40,5,454,52,171,20,0.96,1.55,0.5
21,21,2020-04-11 00:00:00,5,0,0,5,10,3,3,10,464,55,174,30,0.56,0.98,0.24
22,22,2020-04-12 00:00:00,0,0,0,4,12,1,7,3,476,56,181,33,0.77,1.23,0.4
23,23,2020-04-13 00:00:00,0,0,1,0,5,2,13,0,481,58,194,33,0.74,1.19,0.39
24,24,2020-04-14 00:00:00,0,0,0,0,6,2,18,0,487,60,212,33,0.75,1.2,0.39
25,25,2020-04-15 00:00:00,3,0,0,2,14,3,61,4,501,63,273,37,0.69,1.14,0.34
26,26,2020-04-16 00:00:00,0,0,0,1,3,5,7,2,504,68,280,39,0.73,1.2,0.36
27,27,2020-04-17 00:00:00,0,0,0,0,58,4,9,0,562,72,289,39,1.07,1.64,0.6
28,28,2020-04-18 00:00:00,2,0,0,0,10,3,119,2,572,75,408,41,1.34,2,0.79
29,29,2020-04-19 00:00:00,3,0,0,0,24,3,7,2,596,78,415,43,1.08,1.7,0.59
30,30,2020-04-20 00:00:00,0,0,0,1,11,4,17,2,607,82,432,45,1.11,1.74,0.6
31,31,2020-04-21 00:00:00,0,1,0,2,11,5,7,3,618,87,439,48,1.78,2.57,1.12
32,32,2020-04-22 00:00:00,2,0,0,7,8,0,6,2,626,87,445,50,2.09,2.93,1.37
33,33,2020-04-23 00:00:00,0,0,0,2,9,4,11,2,635,91,456,52,2.04,2.86,1.33
34,34,2020-04-24 00:00:00,3,0,0,0,9,8,16,3,644,99,472,55,1.63,2.35,1.02
35,35,2020-04-25 00:00:00,4,0,0,2,12,4,6,4,656,103,478,59,2.25,3.05,1.55
36,36,2020-04-26 00:00:00,0,0,0,1,17,3,4,1,673,106,482,60,2.05,2.78,1.41
37,37,2020-04-27 00:00:00,0,0,0,0,5,2,10,0,678,108,492,60,1.87,2.53,1.29
38,38,2020-04-28 00:00:00,6,5,0,4,13,1,4,5,691,109,496,65,2.05,2.71,1.47
39,39,2020-04-29 00:00:00,5,0,0,0,10,3,6,0,701,112,502,65,1.54,2.09,1.06
40,40,2020-04-30 00:00:00,0,0,0,1,1,1,11,5,702,113,513,70,1.69,2.24,1.21
41,41,2020-05-01 00:00:00,0,3,0,1,3,0,7,1,705,113,520,71,1.55,2.06,1.11
42,42,2020-05-02 00:00:00,12,0,0,0,16,1,39,3,721,114,559,74,0.84,1.21,0.54
43,43,2020-05-03 00:00:00,0,0,0,2,3,6,4,1,724,120,563,75,1.16,1.57,0.81
44,44,2020-05-04 00:00:00,0,0,0,1,12,7,4,1,736,127,567,76,1.11,1.5,0.77
45,45,2020-05-05 00:00:00,11,0,0,8,4,3,18,9,740,130,585,85,1.12,1.51,0.79
46,46,2020-05-06 00:00:00,0,1,0,0,9,0,22,0,749,130,607,85,1.37,1.79,1
47,47,2020-05-07 00:00:00,5,0,0,0,1,0,13,4,750,130,620,89,1.57,2.02,1.17
48,48,2020-05-08 00:00:00,0,0,0,13,6,3,9,12,756,133,629,101,1.6,2.04,1.2
49,49,2020-05-09 00:00:00,0,0,0,2,32,9,11,1,788,142,640,102,1.59,2.03,1.2
50,50,2020-05-10 00:00:00,8,0,0,0,8,2,3,1,796,144,643,103,1.29,1.68,0.94
51,51,2020-05-11 00:00:00,0,1,0,6,11,2,21,7,807,146,664,110,1.21,1.58,0.89
52,52,2020-05-12 00:00:00,12,0,0,0,17,0,13,1,824,146,677,111,0.73,1.01,0.49
53,53,2020-05-13 00:00:00,6,7,0,2,9,1,8,4,833,147,685,115,0.5,0.72,0.31
54,54,2020-05-14 00:00:00,10,1,1,3,36,4,6,7,869,151,691,122,0.23,0.38,0.11
55,55,2020-05-15 00:00:00,1,0,0,2,26,4,3,3,895,155,694,125,0.19,0.34,0.08
56,56,2020-05-16 00:00:00,1,1,0,7,10,6,3,5,905,161,697,130,0.27,0.45,0.14
57,57,2020-05-17 00:00:00,2,2,0,0,39,1,4,3,944,162,701,133,0.22,0.39,0.1
58,58,2020-05-18 00:00:00,0,2,0,3,16,0,5,4,960,162,706,137,0.25,0.44,0.11
59,59,2020-05-19 17:58:12,0,0,0,2,2,1,0,0,962,163,706,137,0.29,0.52,0.13
60,60,2020-05-20 17:54:34,0,0,0,3,22,3,0,3,984,166,706,140,0.35,0.61,0.15
61,61,2020-05-21 16:48:06,2,11,0,6,0,2,3,7,984,168,709,147,0.69,1.08,0.37
62,62,2020-05-22 16:55:13,0,0,0,0,15,2,5,0,999,170,714,147,0.82,1.29,0.45
63,63,2020-05-23 18:03:44,3,0,0,0,1,1,0,4,1000,171,714,151,0.67,1.14,0.32
64,64,2020-05-24 18:03:44,0,9,0,0,0,0,0,0,1000,171,714,151,0.98,1.57,0.51
65,65,2020-05-25 18:35:29,0,0,0,1,0,0,4,2,1000,171,718,153,1.06,1.7,0.55
66,66,2020-05-26 16:30:43,0,2,0,1,7,2,23,1,1007,173,741,154,1.12,1.79,0.58
67,67,2020-05-27 16:11:20,0,2,0,1,4,5,4,0,1011,178,745,154,1.28,2,0.69
68,68,2020-05-28 17:09:29,6,2,0,9,17,1,7,8,1028,179,752,162,0.52,1,0.18
69,69,2020-05-29 15:50:19,0,0,0,3,5,1,2,1,1033,180,754,163,1.42,2.18,0.79
70,70,2020-05-30 17:28:19,0,0,0,2,27,4,7,2,1060,184,761,165,1.8,2.66,1.09
71,71,2020-05-31 16:09:21,2,9,0,2,4,1,0,2,1064,185,761,167,4.15,5.43,3.02
72,72,2020-06-01 16:56:21,0,0,0,1,1,0,2,3,1065,185,763,170,4.1,5.36,2.98
73,73,2020-06-02 16:40:21,0,0,0,0,1,1,4,0,1066,186,767,170,3.76,4.92,2.74
74,74,2020-06-03 19:40:21,1,3,0,1,2,3,3,3,1068,189,770,173,3.03,3.98,2.2
75,75,2020-06-04 17:17:21,0,6,0,0,2,0,3,0,1070,189,773,173,2.42,3.18,1.75
76,76,2020-06-05 17:35:21,7,8,0,1,8,1,31,1,1078,190,804,174,1.52,2.06,1.05
77,77,2020-06-06 17:29:21,3,8,0,0,5,5,31,1,1083,195,835,175,1.6,2.1,1.15
78,78,2020-06-07 18:29:21,20,7,0,20,8,1,0,0,1091,196,835,175,0.56,0.85,0.32
79,79,2020-06-08 17:50:21,0,0,0,0,7,1,2,0,1098,197,837,175,0.56,0.84,0.33
80,80,2020-06-09 18:15:21,0,0,0,0,0,2,2,0,1098,199,839,175,0.58,0.85,0.35
81,81,2020-06-10 18:07:22,0,1,0,0,28,2,8,0,1126,201,847,175,0.58,0.85,0.35
82,82,2020-06-11 18:00:22,0,1,0,3,10,6,7,3,1136,207,854,178,0.6,0.89,0.36
83,83,2020-06-12 17:23:12,0,0,0,0,13,1,2,3,1149,208,856,181,0.69,1,0.42
84,84,2020-06-13 18:28:12,9,1,0,3,8,2,2,2,1157,210,858,183,0.3,0.52,0.13
85,85,2020-06-14 16:56:52,2,19,0,5,9,2,2,5,1166,212,860,188,0.21,0.41,0.07
86,86,2020-06-15 16:42:52,1,6,0,3,0,2,27,3,1166,214,887,191,0.35,0.61,0.15
87,87,2020-06-16 16:50:52,1,4,0,3,9,1,7,4,1175,215,894,195,0.51,0.84,0.25
88,88,2020-06-17 16:57:52,0,4,0,1,4,5,2,3,1179,220,896,198,0.65,1.04,0.34
89,89,2020-06-18 16:49:30,0,1,0,5,7,2,54,7,1186,222,950,205,0.82,1.29,0.44
90,90,2020-06-19 17:15:30,1,0,0,1,2,4,3,5,1188,226,953,210,1.02,1.58,0.57
91,91,2020-06-20 16:21:30,0,1,0,5,12,0,9,3,1200,226,962,213,1.24,1.87,0.71
92,92,2020-06-21 17:33:30,0,1,0,0,2,2,2,6,1202,228,964,219,1.54,2.28,0.93
93,93,2020-06-22 17:33:30,3,0,0,6,2,1,0,0,1204,229,964,219,1.25,1.92,0.7
94,94,2020-06-23 17:41:30,3,8,0,9,7,2,18,3,1211,231,982,222,0.9,1.48,0.45
95,95,2020-06-24 17:04:30,1,1,1,0,5,5,1,0,1216,236,983,222,0.76,1.29,0.36
96,96,2020-06-25 16:14:30,1,4,0,0,11,2,8,0,1227,238,991,222,0.63,1.11,0.28
97,97,2020-06-26 18:08:35,2,2,0,1,1,4,24,2,1228,242,1015,224,0.42,0.81,0.14
98,98,2020-06-27 18:01:35,1,5,0,1,0,1,5,1,1228,243,1020,225,0.85,1.4,0.42
99,99,2020-06-28 16:38:35,2,1,0,0,21,6,4,0,1249,249,1024,225,0.67,1.18,0.29
100,100,2020-06-29 16:50:35,0,0,0,0,6,4,4,0,1255,253,1028,225,0.72,1.26,0.31
101,101,2020-06-30 16:37:35,0,3,0,8,3,1,5,10,1258,254,1033,235,0.78,1.36,0.34
102,102,2020-07-01 16:45:35,0,1,0,2,34,3,42,1,1292,257,1075,236,1.11,1.83,0.55
103,103,2020-07-02 19:30:35,0,1,0,0,0,1,101,3,1292,258,1176,239,1.19,1.95,0.59
104,104,2020-07-03 16:50:35,0,1,0,0,0,0,9,2,1292,258,1185,241,1.25,2.05,0.62
105,105,2020-07-04 17:03:35,5,2,1,6,29,8,9,5,1321,266,1194,246,0.48,1.01,0.13
106,106,2020-07-05 16:45:35,0,2,0,0,2,1,12,0,1323,267,1206,246,0.48,1.02,0.13
107,107,2020-07-06 17:02:35,0,0,0,3,1,4,0,4,1324,271,1206,250,0.49,1.02,0.13
108,108,2020-07-07 16:15:35,0,1,0,0,1,1,0,1,1325,272,1206,251,0.67,1.3,0.23
109,109,2020-07-08 17:45:35,2,0,0,0,6,7,13,4,1331,279,1219,255,0.53,1.12,0.15
110,110,2020-07-09 17:49:35,0,0,0,2,0,3,2,1,1331,282,1221,256,0.58,1.22,0.16
111,111,2020-07-10 16:49:35,0,0,0,3,10,2,6,4,1341,284,1227,260,0.65,1.35,0.18
112,112,2020-07-11 17:31:35,0,1,0,0,1,2,1,0,1342,286,1228,260,0.72,1.51,0.2
113,113,2020-07-12 17:42:35,0,1,0,5,4,1,1,8,1346,287,1229,268,1.06,2.06,0.36
114,114,2020-07-13 16:40:35,0,0,0,0,1,1,3,0,1347,288,1232,268,1.18,2.29,0.4
115,115,2020-07-14 17:40:35,1,2,0,0,3,0,3,2,1350,288,1235,270,0.96,2.02,0.26
116,116,2020-07-15 16:58:35,1,7,0,0,6,3,0,3,1356,291,1235,273,0.68,1.62,0.12
117,117,2020-07-16 17:03:35,0,0,0,0,3,2,3,4,1359,293,1238,277,2.12,3.71,0.92
118,118,2020-07-17 17:00:35,0,0,0,0,11,0,1,2,1370,293,1239,279,2.55,4.31,1.2
119,119,2020-07-18 17:22:35,0,0,0,0,5,3,5,2,1375,296,1244,281,2.6,4.4,1.22
120,120,2020-07-19 16:51:35,1,1,0,0,2,0,9,0,1377,296,1253,281,2.52,4.26,1.18
121,121,2020-07-20 17:38:35,0,0,0,0,0,0,0,0,1377,296,1253,281,2.29,3.88,1.08
122,122,2020-07-21 16:27:35,0,2,0,0,0,0,0,0,1377,296,1253,281,3.18,4.9,1.78
123,123,2020-07-22 16:28:35,0,3,0,0,0,0,0,0,1377,296,1253,281,3.05,4.62,1.76
124,124,2020-07-23 16:29:35,4,3,0,0,0,0,0,0,1377,296,1253,281,1.78,2.93,0.89
125,125,2020-07-24 16:25:35,1,0,0,0,0,0,0,0,1377,296,1253,281,1.35,2.29,0.64
126,126,2020-07-25 20:15:35,0,1,0,0,0,0,0,0,1377,296,1253,281,1.18,2,0.56
127,127,2020-07-26 17:06:35,1,0,1,0,0,0,0,0,1377,296,1253,281,1.84,2.79,1.06
128,128,2020-07-27 16:11:35,0,0,0,0,0,0,0,0,1377,296,1253,281,1.73,2.63,1
129,129,2020-07-28 16:28:35,4,3,0,0,0,0,0,0,1377,296,1253,281,1.11,1.83,0.55
130,130,2020-07-29 16:45:35,1,0,0,0,0,0,0,0,1377,296,1253,281,1.2,1.92,0.62
131,131,2020-07-30 17:05:35,0,0,0,0,0,0,0,0,1377,296,1253,281,1.14,1.84,0.6
132,132,2020-07-31 15:59:35,0,0,0,0,0,0,0,0,1377,296,1253,281,1.23,1.93,0.67
133,133,2020-08-01 15:59:35,0,1,0,0,0,0,0,0,1377,296,1253,281,1.2,1.89,0.65
134,134,2020-08-02 17:25:35,6,0,0,0,0,0,0,0,1377,296,1253,281,0.48,0.92,0.16
135,135,2020-08-03 16:50:35,0,0,0,0,0,0,0,0,1377,296,1253,281,0.47,0.91,0.16
136,136,2020-08-04 17:36:35,0,2,0,0,0,0,0,0,1377,296,1253,281,0.47,0.92,0.16
137,137,2020-08-05 17:06:35,2,1,0,0,0,0,0,0,1377,296,1253,281,0.73,1.29,0.32
138,138,2020-08-06 17:19:35,0,2,0,0,0,0,0,0,1377,296,1253,281,0.78,1.37,0.34
139,139,2020-08-07 16:38:35,1,1,0,0,0,0,0,0,1377,296,1253,281,1.14,1.87,0.57
140,140,2020-08-08 18:12:35,0,0,0,0,0,0,0,0,1377,296,1253,281,1.24,2.04,0.62
141,141,2020-08-09 17:19:35,0,0,0,0,0,0,0,0,1377,296,1253,281,1.33,2.18,0.66
142,142,2020-08-10 16:49:35,0,0,0,0,0,0,0,0,1377,296,1253,281,2.06,3.13,1.19
143,143,2020-08-11 16:29:35,0,0,0,0,0,0,0,0,1377,296,1253,281,2.23,3.34,1.32
144,144,2020-08-12 18:08:35,4,1,0,0,0,0,0,0,1377,296,1253,281,2.32,3.43,1.4
145,145,2020-08-13 17:42:35,0,1,0,0,0,0,0,0,1377,296,1253,281,2.47,3.56,1.55
146,146,2020-08-14 17:26:35,3,0,0,0,0,0,0,0,1377,296,1253,281,1.81,2.7,1.07
147,147,2020-08-15 16:51:35,0,0,0,0,0,0,0,0,1377,296,1253,281,1.73,2.55,1.04
148,148,2020-08-16 17:20:35,0,0,0,0,0,0,0,0,1377,296,1253,281,1.76,2.54,1.1
149,149,2020-08-17 16:15:35,4,0,0,0,0,0,0,0,1377,296,1253,281,1.3,1.94,0.77
150,150,2020-08-18 17:54:35,1,0,0,0,0,0,0,0,1377,296,1253,281,1.11,1.68,0.64
151,151,2020-08-19 16:50:35,5,0,0,0,0,0,0,0,1377,296,1253,281,0.61,1.03,0.28
152,152,2020-08-20 19:09:35,2,0,0,0,0,0,0,0,1377,296,1253,281,0.42,0.76,0.16
153,153,2020-08-21 17:18:35,0,2,0,0,0,0,0,0,1377,296,1253,281,0.49,0.86,0.21
154,154,2020-08-22 15:28:35,1,7,0,0,0,0,0,0,1377,296,1253,281,0.51,0.89,0.22
155,155,2020-08-23 17:15:35,2,0,1,0,0,0,0,0,1377,296,1253,281,0.36,0.69,0.12
156,156,2020-08-24 16:34:35,1,1,0,0,0,0,0,0,1377,296,1253,281,0.49,0.89,0.19
157,157,2020-08-25 15:48:35,0,3,0,0,0,0,0,0,1377,296,1253,281,0.65,1.14,0.28
158,158,2020-08-26 17:43:35,0,2,0,0,0,0,0,0,1377,296,1253,281,0.85,1.44,0.4
159,159,2020-08-27 23:43:35,0,1,0,0,0,0,0,0,1377,296,1253,281,1.51,2.32,0.85
160,160,2020-08-28 17:07:35,1,5,0,0,0,0,0,0,1377,296,1253,281,1.51,2.38,0.82
161,161,2020-08-29 15:45:35,1,0,0,0,0,0,0,0,1377,296,1253,281,1.93,2.93,1.11
162,162,2020-08-30 17:28:35,0,1,0,0,0,0,0,0,1377,296,1253,281,1.93,2.93,1.12
163,163,2020-08-31 17:07:35,2,1,0,0,0,0,0,0,1377,296,1253,281,1.54,2.42,0.83
164,164,2020-09-01 18:07:35,1,0,1,0,0,0,0,0,1377,296,1253,281,1.99,2.94,1.2
165,165,2020-09-02 20:07:35,1,0,0,0,0,0,0,0,1377,296,1253,281,2.22,3.18,1.42
166,166,2020-09-03 15:59:35,4,1,2,0,0,0,0,0,1377,296,1253,281,1.57,2.35,0.93
167,167,2020-09-04 17:25:35,0,1,0,0,0,0,0,0,1377,296,1253,281,2.22,3.1,1.47
168,168,2020-09-05 16:47:35,3,2,0,0,0,0,0,0,1377,296,1253,281,1.83,2.6,1.18
169,169,2020-09-06 18:17:35,0,0,0,0,0,0,0,0,1377,296,1253,281,1.87,2.6,1.24
